"Sample Collection Date","Site Name","County","PCR Pathogen Target","PCR Gene Target","Normalized Pathogen Concentration (gene copies/person/day)","Date/Time Updated"
2024-02-12 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-02-14 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-02-16 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-02-21 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-02-23 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-02-26 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-02-28 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-03-01 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-03-04 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-03-06 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-03-08 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-03-11 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-03-13 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-03-15 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-03-18 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-03-20 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-03-22 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-03-25 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-03-27 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-03-29 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-04-01 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-04-03 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2024-04-04 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUBV","InfB",0,2024-04-10 09:07:19
2023-08-21 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-08-23 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-08-25 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-08-28 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-08-30 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-09-01 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-09-06 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-09-08 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-09-11 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-09-13 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
2023-09-15 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","RSV","RSV-A and RSV-B combined",0,2024-04-10 09:07:19
